model,accuracy,precision,recall,f1,roc_auc,true_positive,false_negative,true_negative,false_positive
LogisticRegression,0.8632,0.8643,0.8774,0.8708,0.9508,465,65,406,73
RandomForest,0.892,0.8935,0.9019,0.8977,0.9625,478,52,422,57
KNN,0.8444,0.8607,0.8396,0.85,0.9221,445,85,407,72
