model,accuracy,precision,recall,f1,roc_auc,true_positive,false_negative,true_negative,false_positive
LogisticRegression,0.8335,0.9004,0.7679,0.8289,0.9061,407,123,434,45
RandomForest,0.8573,0.8845,0.8377,0.8605,0.927,444,86,421,58
KNN,0.779,0.7981,0.7755,0.7866,0.8737,411,119,375,104
