model,accuracy,precision,recall,f1,roc_auc,true_positive,false_negative,true_negative,false_positive
LogisticRegression,0.7384,0.7481,0.7566,0.7523,0.806,401,129,344,135
RandomForest,0.7364,0.7578,0.7321,0.7447,0.8082,388,142,355,124
KNN,0.7324,0.7425,0.7509,0.7467,0.7959,398,132,341,138
